	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
EG10160	0.992454503	0.753730956	0.55330492	0.849002233	0.92747562	0.733975714	0.766871411	0.982417032	0.3200901	0.462243717	0.859949337	0.287358475	0.954207119	0.198073387	0.759041437	0.99116022	0.228718132	0.700621801	0.80388272	0.868274148
EG10163	0.997462359	0.917001155	0.80755462	0.973171568	0.978297472	0.909480842	0.913327957	0.99716576	0.607814596	0.730499704	0.961017603	0.499048384	0.988656743	0.430525572	0.924955806	0.996908012	0.610839495	0.873144338	0.938058564	0.938826548
EG10164	0.97584884	0.574361554	0.313208753	0.687417387	0.836752564	0.527324093	0.58873823	0.958018874	0.14110062	0.278282662	0.770425104	0.136964926	0.893652982	0.048962394	0.549398935	0.983021465	0.186227511	0.523513049	0.620172658	0.697888584
EG10165	0.31423284	0.285376063	0.351096548	0.216940141	0.342361564	0.244035246	0.329801085	0.307217881	0.187494464	0.244906536	0.406397205	0.301759358	0.430192748	0.115095996	0.377955656	0.477692192	0.48519793	0.526186564	0.393985435	0.364757229
EG10166	0.366003875	0.581442159	0.299851305	0.657061208	0.840403129	0.530730846	0.582909993	0.971004748	0.086623755	0.286857443	0.587001982	0.557479878	0.228684354	0.538714875	0.654199057	0.541774366	0.93739096	0.220323529	0.082662993	0.023745058
EG10170	0.028190788	0.292678788	0.586191645	0.203436714	0.082563921	0.448310823	0.334293632	0.016757578	0.812037716	0.682884221	0.995417771	0.994156749	0.993580742	0.993636673	0.992509242	0.991524049	0.993283067	0.994515006	0.991351349	0.995398482
EG10173	0.319154725	0.327260599	0.014847012	0.340097055	0.219510242	0.416071818	0.293081113	0.282932119	0.516363216	0.365134427	0.682379194	0.909261757	0.106670307	0.982315041	0.645374118	0.413023686	0.555065456	0.525824834	0.876398232	0.856020715
EG10174	0.409337603	0.42529323	0.015870592	0.48479824	0.390148632	0.473218225	0.417021483	0.48516052	0.547099421	0.352441505	0.71505498	0.918041794	0.303870784	0.989934108	0.733159922	0.403891406	0.621912427	0.724972992	0.898640608	0.915988305
EG10178	0.108508765	0.298783958	0.993582946	0.039607899	0.29191111	0.056523556	0.156926931	0.025060952	0.026370172	0.186558106	0.163193792	0.05358729	0.594820812	0.010033661	0.097182069	0.420123173	0.139557962	0.163303602	0.050024781	0.036613634
EG10179	0.114116607	0.158606354	0.992620715	0.03681125	0.154173148	0.10731327	0.244237672	0.026534272	0.097322104	0.102139842	0.339317722	0.058860697	0.75351885	0.012019125	0.306308952	0.512107663	0.339361592	0.301247606	0.141500424	0.117362877
EG10181	0.171155792	0.114309715	0.993370886	0.017622174	0.261451776	0.047843259	0.263690912	0.033694724	0.062916929	0.154961822	0.247490562	0.077727087	0.649432391	0.009873165	0.299467207	0.483889137	0.336602689	0.275916031	0.148367006	0.115569616
EG10182	0.118644712	0.093460401	0.992587089	0.066899317	0.178463624	0.027075918	0.169064412	0.018161402	0.04707054	0.138518651	0.317606708	0.054872757	0.719434735	0.002486925	0.26271479	0.571394454	0.377844729	0.234863228	0.060640166	0.085534497
EG10188	0.028138293	0.073216717	0.015781984	0.020453218	0.013613477	0.041291136	0.019835425	0.040630287	0.165411879	0.033315224	0.02316769	0.033074537	0.006928069	0.039537166	0.039389842	0.017407528	0.00521477	0.021332042	0.017069797	0.048548587
EG10200	0.993664395	0.831382645	0.606976724	0.856434869	0.949613956	0.751303659	0.792848184	0.985301418	0.189815261	0.45670897	0.886027986	0.269960805	0.964147813	0.298455823	0.808045796	0.987875047	0.408450934	0.687023712	0.822208526	0.883102878
EG10205	0.746249318	0.703922573	0.584656106	0.89273395	0.917975977	0.71349078	0.742349366	0.98542949	0.184662475	0.486318795	0.79985226	0.059695575	0.092977894	0.940412273	0.54968767	0.859870296	0.617422393	0.954884237	0.776849096	0.880250426
EG10219	0.138713104	0.266273468	0.075886018	0.097771796	0.232778907	0.302530979	0.163966268	0.096217469	0.136291949	0.099645813	0.136715383	0.126699663	0.283715321	0.206286336	0.165715803	0.272789975	0.09120463	0.074613886	0.102255164	0.115665092
EG10220	0.097393144	0.182427928	0.093593172	0.098543884	0.139276079	0.342221131	0.153075629	0.082665407	0.105958044	0.104709883	0.370052326	0.499199475	0.246115895	0.32088702	0.395520574	0.413024625	0.364823437	0.312474981	0.380759267	0.285419993
EG10221	0.30097147	0.34121342	0.250186596	0.243306469	0.305311395	0.291363742	0.222359202	0.199012423	0.251136655	0.154082782	0.27754873	0.215462037	0.303036871	0.185646453	0.257967033	0.370205188	0.166175672	0.174979174	0.194059134	0.176921733
EG10222	0.083215587	0.160250027	0.125009844	0.058144777	0.099932737	0.180701708	0.081494386	0.042886945	0.145700746	0.118206621	0.081864158	0.106155629	0.065561753	0.065855967	0.073512469	0.113818284	0.056238869	0.053599476	0.064544887	0.091241877
EG10223	0.623910709	0.080853217	0.610663203	0.810924403	0.154887983	0.106091033	0.390235994	0.765241741	0.41441047	0.613256287	0.260523162	0.411412492	0.131958391	0.514327563	0.501590035	0.018203581	0.841724692	0.949047878	0.816715774	0.872973865
EG10232	0.168025319	0.068493328	0.002643861	0.10387403	0.151355304	0.059651734	0.057353333	0.059779714	0.051064056	0.073353953	0.070478926	0.2537559	0.046058715	0.241578021	0.074593155	0.065761686	0.104412302	0.108229355	0.130790399	0.171470785
EG10233	0.088648606	0.067453137	0.002207715	0.057433093	0.036771571	0.072633635	0.054607297	0.094923164	0.169288134	0.027305257	0.08966964	0.100104687	0.009637726	0.111173003	0.117253904	0.011284935	0.149703476	0.02415723	0.09352545	0.076852477
EG10234	0.066872108	0.043751617	0.00832689	0.102511635	0.089465111	0.055603155	0.065882334	0.119251611	0.08858774	0.014874406	0.172856794	0.254352838	0.037232676	0.18296982	0.148023315	0.083431532	0.191035184	0.121032163	0.152022957	0.134346025
EG10235	0.795903172	0.964259623	0.000565	0.011367887	0.902506969	0.369592168	0.77798538	0.93204842	0.000109	0.001584975	0.000493	0.29610493	0.128905104	0.624526904	0.01516062	1.19E-05	0.963989334	0.910353189	0.118021393	0.030388057
EG10240	0.358540475	0.290994391	0.44472377	0.44259612	0.307942066	0.36573534	0.318719535	0.250984353	0.415426645	0.618503564	0.689653433	0.305790699	0.614769653	0.344655094	0.685499311	0.629699173	0.056356103	0.129429847	0.636178912	0.612057603
EG10242	0.471651525	0.468167631	0.367183978	0.649358641	0.430462862	0.45143454	0.534060444	0.54485179	0.19879168	0.390045069	0.93885629	0.255581279	0.927908799	0.157510571	0.875304503	0.994887452	0.208540955	0.425678099	0.894818888	0.913905929
EG10248	0.799413657	0.787899095	0.725526872	0.765362823	0.797838594	0.781933822	0.755864812	0.767692105	0.557742271	0.747640808	0.447225148	0.541344422	0.384476453	0.544305949	0.589762189	0.50480295	0.651603964	0.554407385	0.560439309	0.551936253
EG10249	0.963098923	0.858171825	0.6091423	0.780101313	0.696740369	0.655466851	0.565626486	0.992902626	0.287604674	0.625185186	0.803295355	0.465168114	0.891176434	0.47608503	0.784890352	0.956950993	0.193343654	0.535718778	0.803429488	0.842201835
EG10252	0.725084109	0.26229883	0.120652881	0.692725794	0.915420406	0.607383721	0.397920664	0.98869004	0.227217633	0.260966264	0.380360002	0.157212578	0.347524039	0.097839536	0.395118868	0.402867998	0.156129952	0.258114449	0.594078667	0.654198741
EG10253	0.932386423	0.503495267	0.272061116	0.825516855	0.915372339	0.707593202	0.584911166	0.980148985	0.159953638	0.260819653	0.62018495	0.093467392	0.587924881	0.085616163	0.500132315	0.682473454	0.138281298	0.430342094	0.770744422	0.726504287
EG10254	0.200516243	0.8377596	0.91598491	0.097729244	0.010227426	0.147870021	0.565688298	0.001117078	0.380043953	0.543436928	0.523769041	0.900052454	0.822488407	0.983311716	0.640563564	0.723607195	0.832954024	0.819933149	0.231377606	0.133303334
EG10256	0.051271219	0.115972839	0.279076172	0.064301348	0.102629867	0.295751186	0.337557529	0.107876362	0.120999647	0.031281523	0.197566969	0.324392395	0.009360262	0.297703372	0.115988367	0.186606299	0.052599263	0.284339086	0.171712686	0.184729437
EG10257	0.063848179	0.162178664	0.095657489	0.086903787	0.114062556	0.206565393	0.154656008	0.069307702	0.214088906	0.039239248	0.199801528	0.257945874	0.081346684	0.276480068	0.095844203	0.348845737	0.028872443	0.435999632	0.150335939	0.197443041
EG10259	0.00078	0.117922472	0.046968451	0.020614068	0.019263532	0.05851021	0.042397251	0.0333419	0.243996595	0.153765453	0.021026526	0.092375353	0.120103211	0.302967714	0.030860209	0.132838945	0.267248722	0.020759136	0.069520976	0.248117693
EG10260	0.007616704	0.25431977	0.155676413	0.051563519	0.053138804	0.089804578	0.058356022	0.007502417	0.24053923	0.114601864	0.046396311	0.047421649	0.078489857	0.576280787	0.08404492	0.128959248	0.376417034	0.057377565	0.092572616	0.167332134
EG10261	0.002066536	0.136497486	0.117234102	0.01896426	0.045109423	0.084983036	0.047380496	0.006457994	0.279825964	0.129513856	0.027381801	0.154581203	0.046044948	0.374306466	0.013868151	0.154781488	0.324928706	0.040255468	0.049048298	0.17873656
EG10262	0.001228032	0.094162081	0.136538652	0.019842861	0.053582589	0.137664625	0.088497198	0.031151042	0.197728075	0.180768499	0.0199202	0.052348187	0.031835454	0.317636906	0.003214208	0.05111111	0.127749029	0.014629527	0.041449381	0.084412901
EG10263	0.008087524	0.265596842	0.183429995	0.052827906	0.035127792	0.118168979	0.094675774	0.025538598	0.221656094	0.185130263	0.030469617	0.1457287	0.059335041	0.440449	0.034747259	0.1879901	0.322099724	0.035635614	0.141758797	0.164889777
EG10264	0.011566161	0.164741828	0.129732042	0.067324448	0.022375704	0.155329195	0.048929827	0.01430229	0.20933392	0.116964824	0.023696946	0.087874954	0.030852376	0.333912054	0.040068337	0.130671967	0.284414683	0.030102177	0.075159539	0.154260692
EG10268	0.98853561	0.53083967	0.723082672	0.3477774	0.203343352	0.487499829	0.397518042	0.021521328	0.87683574	0.727067494	0.805923412	0.469814473	0.489128342	0.831125985	0.037933309	0.075994897	0.467244445	0.510043188	0.622999315	0.965777647
EG10269	0.201284316	0.192402921	0.101400707	0.251594479	0.241424286	0.200084161	0.297968878	0.304948804	0.124007636	0.120411419	0.289943302	0.151140216	0.285348802	0.098756536	0.149965635	0.361898444	0.126351549	0.333282379	0.271527261	0.345395813
EG10271	0.004599606	0.205951268	0.126658227	0.055393797	0.06717174	0.154525318	0.056164911	0.013977892	0.265568262	0.130229578	0.081236113	0.250391663	0.181162635	0.668681831	0.103360799	0.244916895	0.418182632	0.085341505	0.148859971	0.503907212
